Account Number,Meter ID,Meter Type,Service Address,Rate Schedule,Billing Start,Billing End,Usage (kWh),Peak Demand (kW),Cost (USD)
ACC-HAM-001,MTR-HAM-A1,ELECTRIC,Hamburg Plant - Building A (Halle 1),C&I-TOU-HT,01/15/2024,02/13/2024,87420,342.5,13982.40
ACC-HAM-001,MTR-HAM-A2,ELECTRIC,Hamburg Plant - Building A (Halle 2),C&I-TOU-HT,01/15/2024,02/13/2024,54230,198.0,8676.80
ACC-HAM-001,MTR-HAM-B1,ELECTRIC,Hamburg Plant - Building B (Verwaltung),C&I-FLAT,01/17/2024,02/16/2024,12840,47.2,2054.40
ACC-HAM-001,MTR-HAM-A1,ELECTRIC,Hamburg Plant - Building A (Halle 1),C&I-TOU-HT,02/13/2024,03/14/2024,91350,358.0,14616.00
ACC-HAM-001,MTR-HAM-A2,ELECTRIC,Hamburg Plant - Building A (Halle 2),C&I-TOU-HT,02/13/2024,03/14/2024,56780,204.5,9084.80
ACC-HAM-001,MTR-HAM-B1,ELECTRIC,Hamburg Plant - Building B (Verwaltung),C&I-FLAT,02/16/2024,03/17/2024,13210,49.1,2113.60
ACC-RTM-002,MTR-RTM-W1,ELECTRIC,Rotterdam DC - Warehouse 1,LV-Industrial,01/08/2024,02/07/2024,143500,510.0,22960.00
ACC-RTM-002,MTR-RTM-W2,ELECTRIC,Rotterdam DC - Warehouse 2 (refrigerated),LV-Industrial,01/08/2024,02/07/2024,2.8,0.0,448.00
ACC-RTM-002,MTR-RTM-W1,ELECTRIC,Rotterdam DC - Warehouse 1,LV-Industrial,02/07/2024,03/08/2024,138900,498.5,22224.00
ACC-RTM-002,MTR-RTM-W2,ELECTRIC,Rotterdam DC - Warehouse 2 (refrigerated),LV-Industrial,02/07/2024,03/08/2024,2.6,0.0,416.00
ACC-HOU-003,MTR-HOU-F1,ELECTRIC,Houston Facility - Main Building,TOU-GS-3D,01/22/2024,02/21/2024,234670,824.0,32853.80
ACC-HOU-003,MTR-HOU-F1,ELECTRIC,Houston Facility - Main Building,TOU-GS-3D,02/21/2024,03/21/2024,228450,796.0,31983.00
ACC-HOU-003,MTR-HOU-EV,ELECTRIC,Houston Facility - EV Charging Station,EV-TOU-5,01/22/2024,02/21/2024,4820,22.5,578.40
ACC-HOU-003,MTR-HOU-EV,ELECTRIC,Houston Facility - EV Charging Station,EV-TOU-5,02/21/2024,03/21/2024,5140,24.0,616.80
ACC-HAM-001,MTR-HAM-A1,ELECTRIC,Hamburg Plant - Building A (Halle 1),C&I-TOU-HT,01/28/2024,02/27/2024,89100,349.0,14256.00
