Buchungsdatum	Belegjahr	Belegnummer	Position	Belegart	Werk	Lagerort	Material	Materialkurztext	Menge	ME	Wert in HW	HWährung	Kostenstelle	Bewegungsart
05.01.2024	2024	4900001201	0001	WA	1000	0001	DIESEL-001	Diesel Kraftstoff (EN 590)	1.500,000	L	2.430,00	EUR	CC-PROD-01	201
12.01.2024	2024	4900001245	0001	WA	1000	0001	ERDGAS-001	Erdgas H-Gas (Naturgas)	850,000	M3	722,50	EUR	CC-HEAT-01	201
18.01.2024	2024	4900001312	0001	WA	2000	0002	DIESEL-001	Diesel Kraftstoff (EN 590)	2.200,000	L	3.564,00	EUR	CC-DIST-01	261
22.01.2024	2024	4900001398	0001	WA	US01	TANK	DIESEL-001	Diesel Fuel No.2	2800,000	GAL	9.996,00	USD	CC-PROC-US	201
25.01.2024	2024	4900001445	0001	WA	1000	0003	HEIZOEL-001	Heizöl EL (leicht)	3.200,000	L	3.840,00	EUR	CC-HEAT-01	261
31.01.2024	2024	4900001502	0001	WA	IN01	0001	DIESEL-001	High Speed Diesel (HSD)	1.800,000	L	2.376,00	INR		201
07.02.2024	2024	4900001601	0001	WA	1000	0001	DIESEL-001	Diesel Kraftstoff (EN 590)	1.750,000	L	2.835,00	EUR	CC-PROD-01	201
09.02.2024	2024	4900001634	0001	WA	2000	0002	ERDGAS-001	Aardgas (Naturgas)	920,000	M3	782,00	EUR	CC-HEAT-NL	261
14.02.2024	2024	4900001698	0001	WA	US01	TANK	BENZIN-001	Regular Unleaded Gasoline (87 AKI)	1500,000	GAL	4.500,00	USD	CC-FLEET-US	201
16.02.2024	2024	4900001712	0001	WA	1000	0001	PROPAN-001	Flüssiggas Propan (LPG)	450,000	KG	612,00	EUR	CC-PROD-01	261
20.02.2024	2024	4900001801	0001	WA	2000	0001	DIESEL-001	Diesel Kraftstoff (EN 590)	180.000,000	L	291.600,00	EUR	CC-DIST-01	201
28.02.2024	2024	4900001902	0001	WA	IN01	0001	ERDGAS-001	CNG (Compressed Natural Gas)	340,000	M3	289,00	INR	CC-PROC-IN	201
04.03.2024	2024	4900002001	0001	WA	1000	0001	DIESEL-001	Diesel Kraftstoff (EN 590)	1.680,000	L	2.721,60	EUR	CC-PROD-01	201
08.03.2024	2024	4900002045	0001	WA	1000	0001	HEIZOEL-001	Heizöl EL (leicht)	2.900,000	L	3.480,00	EUR	CC-HEAT-01	261
12.03.2024	2024	4900002112	0001	WA	2000	0002	DIESEL-001	Diesel Kraftstoff (EN 590)	2.050,000	L	3.321,00	EUR	CC-DIST-01	201
15.03.2024	2024	4900002189	0001	WA	US01	TANK	DIESEL-001	Diesel Fuel No.2	3200,000	GAL	11.424,00	USD	CC-PROC-US	201
20.03.2024	2024	4900002245	0001	WA	IN01	0001	DIESEL-001	High Speed Diesel (HSD)	1.950,000	L	2.574,00	INR	CC-PROC-IN	201
22.03.2024	2024	4900002298	0001	WA	1000	0001	KEROSIN-001	Kerosin Jet A-1 (Flugturbinenkraftstoff)	8.500,000	L	17.850,00	EUR	CC-AVIA-01	201
28.03.2024	2024	4900002367	0001	WA	2000	0001	ERDGAS-001	Aardgas (Naturgas)	0,000	M3	0,00	EUR	CC-HEAT-NL	201
31.03.2024	2024	4900002412	0001	WA	1000	0001	STAHL-001	Kaltgewalzter Stahl 2mm (S235JR)	5.200,000	KG	8.320,00	EUR	CC-PROD-01	201
31.03.2024	2024	4900002413	0001	RE	3000	0001	DIESEL-001	Diesel Kraftstoff (EN 590)	4.500,000	L	7.290,00	EUR	CC-PROD-01	101
15.01.2024	2024	4900001290	0001	WA	1000	0001	DIESEL-001	Diesel Kraftstoff (EN 590)	-250,000	L	-405,00	EUR	CC-PROD-01	201
